,channel,position,unit
1062,1,9301,[4]
1063,1,9374,[29]
1064,1,9454,[7]
1065,1,9524,[44]
1066,1,9542,[30]
1067,1,9646,[33]
1068,1,9820,[35]
1069,1,9868,[35]
1070,1,9897,[26]
1071,1,9942,[15]
1072,1,9979,[44]
1073,1,10031,[35]
1074,1,10276,[42]
1075,1,10416,[48]
1076,1,10437,[12]
1077,1,10538,[13]
1078,1,10566,[46]
1079,1,10627,[45]
1080,1,10693,[45]
1081,1,10763,[21]
1082,1,10803,[46]
1083,1,10885,[40]
1084,1,10946,[0]
1085,1,11036,[28]
1086,1,11052,[13]
1087,1,11077,[22]
1088,1,11127,[37]
1089,1,11200,[10]
1090,1,11287,[23]
1091,1,11334,[44]
1092,1,11482,[9]
1093,1,11533,[37]
1094,1,11665,[42]
1095,1,11762,[2]
1096,1,11857,[19]
1097,1,11875,[12]
1098,1,11949,[16]
1099,1,12008,[33]
1100,1,12102,[18]
1101,1,12201,[15]
1102,1,12231,[27]
1103,1,12285,[9]
1104,1,12399,[42]
1105,1,12440,[45]
1106,1,12457,[32]
1107,1,12678,[42]
1108,1,12829,[31]
1109,1,12902,[34]
1110,1,12964,[23]
1111,1,13085,[45]
1112,1,13281,[25]
1113,1,13430,[42]
1114,1,13446,[46]
1115,1,13506,[32]
1116,1,13545,[5]
1117,1,13729,[15]
1118,1,13758,[7]
1119,1,13904,[35]
1120,1,13926,[42]
1121,1,13996,[47]
1122,1,14021,[5]
1123,1,14146,[25]
1124,1,14279,[42]
1125,1,14399,[23]
1126,1,14471,[21]
1127,1,14517,[21]
1128,1,14615,[2]
1129,1,14741,[1]
1130,1,14763,[35]
1131,1,14831,[4]
1132,1,14872,[4]
1133,1,14942,[10]
1134,1,14975,[27]
1135,1,15059,[0]
1136,1,15121,[27]
1137,1,15221,[3]
1138,1,15279,[19]
1139,1,15324,[39]
1140,1,15349,[27]
1141,1,15414,[47]
1142,1,15565,[14]
1143,1,15653,[9]
1144,1,15709,[20]
1145,1,15943,[26]
1146,1,16088,[41]
1147,1,16277,[1]
1148,1,16331,[27]
1149,1,16406,[14]
1150,1,16478,[22]
1151,1,16636,[20]
1152,1,16737,[28]
1153,1,16762,[7]
1154,1,16795,[14]
1155,1,16930,[28]
1156,1,17241,[19]
1157,1,17260,[0]
1158,1,17358,[3]
1159,1,17492,[42]
1160,1,17613,[44]
1161,1,17629,[35]
1162,1,17657,[46]
1163,1,17710,[20]
1164,1,17731,[15]
1165,1,17769,[25]
1166,1,17840,[45]
1167,1,17875,[15]
1168,1,17943,[4]
1169,1,18063,[24]
1170,1,18236,[33]
1171,1,18298,[24]
1172,1,18439,[29]
1173,1,18494,[7]
1174,1,18609,[21]
1175,1,18658,[15]
1176,1,18830,[48]
1177,1,18946,[1]
1178,1,18960,[33]
1179,1,19217,[26]
1180,1,19315,[21]
1181,1,19370,[12]
1182,1,19451,[34]
1183,1,19467,[44]
1184,1,19540,[32]
1185,1,19561,[24]
1186,1,19598,[47]
1187,1,19680,[16]
1188,1,19727,[27]
1189,1,19885,[9]
1190,1,19927,[34]
1191,1,19986,[39]
1192,1,20011,[46]
1193,1,20051,[16]
1194,1,20077,[14]
1195,1,20278,[5]
1196,1,20336,[36]
1197,1,20373,[34]
1198,1,20457,[12]
1199,1,20543,[42]
1200,1,20613,[8]
1201,1,20821,[35]
1202,1,20851,[46]
1203,1,20971,[33]
1204,1,21134,[34]
1205,1,21266,[39]
1206,1,21342,[9]
1207,1,21395,[45]
1208,1,21424,[12]
1209,1,21495,[30]
1210,1,21561,[40]
1211,1,21598,[23]
1212,1,21710,[14]
1213,1,21856,[9]
1214,1,21947,[34]
1215,1,22095,[16]
1216,1,22134,[24]
1217,1,22217,[4]
1218,1,22271,[38]
1219,1,22359,[40]
1220,1,22542,[10]
1221,1,22641,[28]
1222,1,22790,[47]
1223,1,22924,[38]
1224,1,23097,[41]
1225,1,23156,[12]
1226,1,23192,[28]
1227,1,23207,[47]
1228,1,23330,[0]
1229,1,23365,[45]
1230,1,23408,[30]
1231,1,23489,[0]
1232,1,23544,[3]
1233,1,23658,[35]
1234,1,23709,[46]
1235,1,23742,[42]
1236,1,23830,[38]
1237,1,23849,[18]
1238,1,23896,[12]
1239,1,23972,[3]
1240,1,24016,[47]
1241,1,24121,[23]
1242,1,24234,[3]
1243,1,24275,[21]
1244,1,24365,[28]
1245,1,24386,[11]
1246,1,24412,[12]
