,channel,position,unit
952,1,21959,[32]
953,1,21977,[9]
954,1,22070,[6]
955,1,22176,[15]
956,1,22234,[42]
957,1,22250,[20]
958,1,22267,[30]
959,1,22279,[22]
960,1,22369,[0]
961,1,22447,[8]
962,1,22472,[6]
963,1,22547,[24]
964,1,22563,[37]
965,1,22606,[22]
966,1,22685,[32]
967,1,22705,[43]
968,1,22744,[44]
969,1,22811,[34]
970,1,22868,[6]
971,1,22927,[37]
972,1,23069,[2]
973,1,23180,[13]
974,1,23209,[37]
975,1,23302,[2]
976,1,23376,[28]
977,1,23396,[22]
978,1,23493,[32]
979,1,23554,[8]
980,1,23598,[30]
981,1,23638,[38]
982,1,23684,[20]
983,1,23712,[42]
984,1,23754,[5]
985,1,23809,[22]
986,1,23852,[9]
987,1,23935,[8]
988,1,23994,[30]
989,1,24063,[19]
990,1,24116,[11]
991,1,24142,[22]
992,1,24158,[18]
993,1,24259,[47]
994,1,24301,[18]
995,1,24399,[1]
996,1,24438,[29]
997,1,24463,[6]
998,1,24565,[22]
999,1,24628,[47]
1000,1,24666,[21]
1001,1,24715,[17]
1002,1,24733,[13]
1003,1,24819,[10]
1004,1,24879,[15]
1005,1,24918,[9]
1006,1,25028,[17]
1007,1,25100,[21]
1008,1,25187,[34]
1009,1,25228,[22]
1010,1,25271,[8]
1011,1,25302,[6]
1012,1,25411,[9]
1013,1,25442,[37]
1014,1,25515,[47]
1015,1,25620,[20]
1016,1,25664,[30]
1017,1,25745,[1]
1018,1,25761,[30]
1019,1,25805,[20]
1020,1,25827,[32]
1021,1,25983,[17]
1022,1,26001,[30]
1023,1,26086,[6]
1024,1,26109,[37]
1025,1,26171,[20]
1026,1,26196,[42]
1027,1,26239,[17]
1028,1,26377,[6]
1029,1,26402,[22]
1030,1,26498,[8]
1031,1,26532,[18]
1032,1,26665,[44]
1033,1,26685,[13]
1034,1,26773,[4]
1035,1,26784,[13]
1036,1,26846,[30]
1037,1,26903,[15]
1038,1,26981,[42]
1039,1,27040,[12]
1040,1,27074,[22]
1041,1,27180,[37]
1042,1,27210,[12]
1043,1,27256,[32]
1044,1,27273,[18]
1045,1,27439,[42]
1046,1,27492,[10]
1047,1,27529,[28]
1048,1,27543,[1]
1049,1,27634,[25]
1050,1,27836,[42]
1051,1,27886,[43]
1052,1,27922,[44]
1053,1,28024,[1]
1054,1,28117,[33]
1055,1,28149,[38]
1056,1,28166,[13]
1057,1,28248,[20]
1058,1,28274,[42]
1059,1,28344,[9]
1060,1,28590,[2]
1061,1,28625,[12]
1062,1,28663,[15]
1063,1,28751,[8]
1064,1,28845,[5]
1065,1,28919,[16]
1066,1,28978,[30]
1067,1,29025,[8]
1068,1,29072,[46]
1069,1,29111,[21]
1070,1,29168,[2]
1071,1,29194,[37]
1072,1,29298,[4]
1073,1,29320,[12]
1074,1,29375,[30]
1075,1,29409,[24]
1076,1,29473,[30]
1077,1,29531,[25]
1078,1,29542,[18]
1079,1,29657,[7]
1080,1,29685,[46]
1081,1,29739,[2]
1082,1,29777,[17]
1083,1,29802,[12]
1084,1,29909,[43]
1085,1,29945,[43]
1086,1,29974,[6]
1087,1,30079,[17]
1088,1,30111,[20]
1089,1,30248,[18]
1090,1,30378,[23]
1091,1,30408,[37]
1092,1,30526,[38]
1093,1,30542,[13]
1094,1,30590,[32]
1095,1,30676,[1]
